currency,term,ticker,field,type,mat_days ,fx_base_convention,base
AUDCAD,6M,CDSOF BGN Curncy,PX_LAST,funding,180,-1,CAD
AUDCAD,9M,CDSOI BGN Curncy,PX_LAST,funding,270,-1,CAD
AUDCAD,12M,CDSO1 Curncy,PX_LAST,funding,360,-1,CAD
AUDCAD,SP,CAONREPO Index,PX_LAST,funding,0,-1,CAD
AUDCAD,1W,ADSO1Z BGN Curncy,PX_LAST,investment,7,-1,CAD
AUDCAD,2W,ADSO2Z BGN Curncy,PX_LAST,investment,14,-1,CAD
AUDCAD,3W,ADSO1Z BGN Curncy,PX_LAST,investment,21,-1,CAD
AUDCAD,1M,ADSOA BGN Curncy,PX_LAST,investment,30,-1,CAD
AUDCAD,2M,ADSOB BGN Curncy,PX_LAST,investment,60,-1,CAD
AUDCAD,3M,ADSOC BGN Curncy,PX_LAST,investment,90,-1,CAD
AUDCAD,4M,ADSOD BGN Curncy,PX_LAST,investment,120,-1,CAD
AUDCAD,5M,ADSOE BGN Curncy,PX_LAST,investment,150,-1,CAD
AUDCAD,6M,ADSOF BGN Curncy,PX_LAST,investment,180,-1,CAD
AUDCAD,9M,ADSOI BGN Curncy,PX_LAST,investment,270,-1,CAD
AUDCAD,12M,ADSO1 Curncy,PX_LAST,investment,360,-1,CAD
AUDCAD,SP,ADSOC BGN Curncy,PX_LAST,investment,0,-1,CAD
EURAUD,1W,EURAUD1W BGN Curncy,PX_ASK,forwards,7,1,EUR
EURAUD,2W,EURAUD2W BGN Curncy,PX_ASK,forwards,14,1,EUR
EURAUD,3W,EURAUD3W BGN Curncy,PX_ASK,forwards,21,1,EUR
EURAUD,1M,EURAUD1M BGN Curncy,PX_ASK,forwards,30,1,EUR
EURAUD,2M,EURAUD2M BGN Curncy,PX_ASK,forwards,60,1,EUR
EURAUD,3M,EURAUD3M BGN Curncy,PX_ASK,forwards,90,1,EUR
EURAUD,4M,EURAUD4M BGN Curncy,PX_ASK,forwards,120,1,EUR
EURAUD,5M,EURAUD5M BGN Curncy,PX_ASK,forwards,150,1,EUR
EURAUD,6M,EURAUD6M BGN Curncy,PX_ASK,forwards,180,1,EUR
EURAUD,9M,EURAUD9M BGN Curncy,PX_ASK,forwards,270,1,EUR
EURAUD,12M,EURAUD12M BGN Curncy,PX_ASK,forwards,360,1,EUR
EURAUD,SP,EURAUDSN BGN Curncy,PX_ASK,spot,0,1,EUR
EURAUD,1W,ADSO1Z BGN Curncy,PX_LAST,investment,7,1,EUR
EURAUD,2W,ADSO2Z BGN Curncy,PX_LAST,investment,14,1,EUR
EURAUD,3W,ADSO1Z BGN Curncy,PX_LAST,investment,21,1,EUR
EURAUD,1M,ADSOA BGN Curncy,PX_LAST,investment,30,1,EUR
EURAUD,2M,ADSOB BGN Curncy,PX_LAST,investment,60,1,EUR
EURAUD,3M,ADSOC BGN Curncy,PX_LAST,investment,90,1,EUR
EURAUD,4M,ADSOD BGN Curncy,PX_LAST,investment,120,1,EUR
EURAUD,5M,ADSOE BGN Curncy,PX_LAST,investment,150,1,EUR
EURAUD,6M,ADSOF BGN Curncy,PX_LAST,investment,180,1,EUR
EURAUD,9M,ADSOI BGN Curncy,PX_LAST,investment,270,1,EUR
EURAUD,12M,ADSO1 Curncy,PX_LAST,investment,360,1,EUR
EURAUD,1W,EESWE1Z BGN Curncy,PX_LAST,funding,7,1,EUR
EURAUD,2W,EESWE2Z BGN Curncy,PX_LAST,funding,14,1,EUR
EURAUD,3W,EESWE3Z BGN Curncy,PX_LAST,funding,21,1,EUR
EURAUD,1M,EESWEA BGN Curncy,PX_LAST,funding,30,1,EUR
EURAUD,2M,EESWEB BGN Curncy,PX_LAST,funding,60,1,EUR
EURAUD,3M,EESWEC BGN Curncy,PX_LAST,funding,90,1,EUR
